run,Z,A,kind,level,line,delta_e_eV,w12_per_s
Li9_grid0,3,9,grid,0,N7-O8,562.615036,2514387945.307149
Li9_grid0,3,9,grid,0,N7-O9,562.619829,70404500515.827789
Li9_grid0,3,9,grid,0,O8-P10,305.620132,26616428240.117657
Li9_grid0,3,9,grid,0,O9-P10,305.615339,604899808.624483
Li9_grid0,3,9,grid,0,O9-P11,305.617188,27220973492.442505
Li9_grid0,3,9,grid,0,P10-Q12,184.278008,12073775886.166807
Li9_grid0,3,9,grid,0,P11-Q12,184.276159,185746329.982977
Li9_grid0,3,9,grid,0,P11-Q13,184.276991,12259425698.320782
Li9_grid0,3,9,grid,0,Q12-R14,119.603092,6096661295.933764
Li9_grid0,3,9,grid,0,Q13-R14,119.602260,67739576.776028
Li9_grid0,3,9,grid,0,Q13-R15,119.602678,6164369852.517785
Li9_grid1,3,9,grid,1,K1-L2,18793.408175,10396941519003.140625
Li9_grid1,3,9,grid,1,K1-L3,18794.159474,10396033221319.105469
Li9_grid1,3,9,grid,1,L2-M4,3475.681971,892357829340.680420
Li9_grid1,3,9,grid,1,L3-M4,3474.930672,178427630644.673126
Li9_grid1,3,9,grid,1,L3-M5,3475.004689,1070601928142.081909
Li9_grid1,3,9,grid,1,M4-N6,1215.688848,213000033496.616913
Li9_grid1,3,9,grid,1,M5-N6,1215.614831,15212894284.558786
Li9_grid1,3,9,grid,1,M5-N7,1215.630435,228200417092.627869
Li9_grid1,3,9,grid,1,N6-O8,562.630649,67891849736.568115
Li9_grid1,3,9,grid,1,N7-O8,562.615045,2514388192.677190
Li9_grid1,3,9,grid,1,N7-O9,562.619838,70404505370.828415
Li9_grid1,3,9,grid,1,O8-P10,305.620133,26616427767.058456
Li9_grid1,3,9,grid,1,O9-P10,305.615340,604899798.205360
Li9_grid1,3,9,grid,1,O9-P11,305.617189,27220972941.679794
Li9_grid1,3,9,grid,1,P10-Q12,184.278010,12073775918.915302
Li9_grid1,3,9,grid,1,P11-Q12,184.276161,185746330.511559
Li9_grid1,3,9,grid,1,P11-Q13,184.276992,12259425683.010958
