run,Z,A,kind,rc,err_bytes
K40_rsig,19,40,rsig,0,0
K40_ideal6,19,40,ideal6,0,0
K40_ideal7,19,40,ideal7,0,0
K40_ideal8,19,40,ideal8,0,0
K41_base,19,41,base,0,0
K41_rsig,19,41,rsig,0,0
K41_ideal6,19,41,ideal6,0,0
K41_ideal7,19,41,ideal7,0,0
K41_ideal8,19,41,ideal8,0,0
K42_base,19,42,base,0,0
K42_rsig,19,42,rsig,0,0
K42_ideal6,19,42,ideal6,0,0
K42_ideal7,19,42,ideal7,0,0
K42_ideal8,19,42,ideal8,0,0
K43_base,19,43,base,0,0
K43_rsig,19,43,rsig,0,0
K43_ideal6,19,43,ideal6,0,0
K43_ideal7,19,43,ideal7,0,0
K43_ideal8,19,43,ideal8,0,0
K44_base,19,44,base,0,0
K44_rsig,19,44,rsig,0,0
K44_ideal6,19,44,ideal6,0,0
K44_ideal7,19,44,ideal7,0,0
K44_ideal8,19,44,ideal8,0,0
K45_base,19,45,base,0,0
K45_rsig,19,45,rsig,0,0
K45_ideal6,19,45,ideal6,0,0
K45_ideal7,19,45,ideal7,0,0
K45_ideal8,19,45,ideal8,0,0
K46_base,19,46,base,0,0
K46_rsig,19,46,rsig,0,0
K46_ideal6,19,46,ideal6,0,0
K46_ideal7,19,46,ideal7,0,0
K46_ideal8,19,46,ideal8,0,0
K47_base,19,47,base,0,0
K47_rsig,19,47,rsig,0,0
K47_ideal6,19,47,ideal6,0,0
K47_ideal7,19,47,ideal7,0,0
K47_ideal8,19,47,ideal8,0,0
Ca39_base,20,39,base,0,0
Ca39_rsig,20,39,rsig,0,0
Ca39_ideal6,20,39,ideal6,0,0
Ca39_ideal7,20,39,ideal7,0,0
Ca39_ideal8,20,39,ideal8,0,0
Ca40_base,20,40,base,0,0
Ca40_rsig,20,40,rsig,0,0
Ca40_ideal6,20,40,ideal6,0,0
Ca40_ideal7,20,40,ideal7,0,0
Ca40_ideal8,20,40,ideal8,0,0
Ca41_base,20,41,base,0,0
Ca41_rsig,20,41,rsig,0,0
Ca41_ideal6,20,41,ideal6,0,0
Ca41_ideal7,20,41,ideal7,0,0
Ca41_ideal8,20,41,ideal8,0,0
Ca42_base,20,42,base,0,0
Ca42_rsig,20,42,rsig,0,0
Ca42_ideal6,20,42,ideal6,0,0
Ca42_ideal7,20,42,ideal7,0,0
Ca42_ideal8,20,42,ideal8,0,0
Ca43_base,20,43,base,0,0
Ca43_rsig,20,43,rsig,0,0
Ca43_ideal6,20,43,ideal6,0,0
Ca43_ideal7,20,43,ideal7,0,0
Ca43_ideal8,20,43,ideal8,0,0
Ca44_base,20,44,base,0,0
Ca44_rsig,20,44,rsig,0,0
Ca44_ideal6,20,44,ideal6,0,0
Ca44_ideal7,20,44,ideal7,0,0
Ca44_ideal8,20,44,ideal8,0,0
Ca45_base,20,45,base,0,0
Ca45_rsig,20,45,rsig,0,0
Ca45_ideal6,20,45,ideal6,0,0
Ca45_ideal7,20,45,ideal7,0,0
Ca45_ideal8,20,45,ideal8,0,0
Ca46_base,20,46,base,0,0
Ca46_rsig,20,46,rsig,0,0
Ca46_ideal6,20,46,ideal6,0,0
Ca46_ideal7,20,46,ideal7,0,0
Ca46_ideal8,20,46,ideal8,0,0
Ca47_base,20,47,base,0,0
Ca47_rsig,20,47,rsig,0,0
Ca47_ideal6,20,47,ideal6,0,0
Ca47_ideal7,20,47,ideal7,0,0
Ca47_ideal8,20,47,ideal8,0,0
Ca48_base,20,48,base,0,0
Ca48_rsig,20,48,rsig,0,0
Ca48_ideal6,20,48,ideal6,0,0
Ca48_ideal7,20,48,ideal7,0,0
Ca48_ideal8,20,48,ideal8,0,0
Ca50_base,20,50,base,0,0
Ca50_rsig,20,50,rsig,0,0
Ca50_ideal6,20,50,ideal6,0,0
Ca50_ideal7,20,50,ideal7,0,0
Ca50_ideal8,20,50,ideal8,0,0
Sc42_base,21,42,base,0,0
Sc42_rsig,21,42,rsig,0,0
Sc42_ideal6,21,42,ideal6,0,0
Sc42_ideal7,21,42,ideal7,0,0
Sc42_ideal8,21,42,ideal8,0,0
Sc43_base,21,43,base,0,0
Sc43_rsig,21,43,rsig,0,0
Sc43_ideal6,21,43,ideal6,0,0
Sc43_ideal7,21,43,ideal7,0,0
Sc43_ideal8,21,43,ideal8,0,0
Sc44_base,21,44,base,0,0
Sc44_rsig,21,44,rsig,0,0
Sc44_ideal6,21,44,ideal6,0,0
Sc44_ideal7,21,44,ideal7,0,0
Sc44_ideal8,21,44,ideal8,0,0
Sc45_base,21,45,base,0,0
Sc45_rsig,21,45,rsig,0,0
Sc45_r101,21,45,r101,0,0
Sc45_ideal6,21,45,ideal6,0,0
Sc45_ideal7,21,45,ideal7,0,0
Sc45_ideal8,21,45,ideal8,0,0
Sc46_base,21,46,base,0,0
Sc46_rsig,21,46,rsig,0,0
Sc46_ideal6,21,46,ideal6,0,0
Sc46_ideal7,21,46,ideal7,0,0
Sc46_ideal8,21,46,ideal8,0,0
