source,Z,A,transition,quantity,consumer_quantity,initial_n,final_n,measured_keV,unc_keV,tol_keV,solver_keV,consumer_keV,stock_keV,solver_residual_keV,consumer_residual_keV,stock_residual_keV,solver_within,consumer_within,stock_within,consumer_closer_than_stock,representation_error_keV,solver_numeric_target_keV,solver_numeric_shifts_keV,solver_numeric_qualification,consumer_numeric_target_keV,consumer_numeric_shifts_keV,consumer_numeric_qualification,locator,copy_read
Fricke1995,55,133,2p1/2-1s1/2,K1-L2,shell_difference,2,1,3840.702,0.039,0.117,3840.331520121,3881.7361319603333,3841.201953431,-0.370479879,41.0341319603333,0.499953431,false,false,false,false,41.4046118393333,0.0039,0.107172214;0.025657311,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0081963813854236669,0.1086635453333333333333333333333333333333333334;0.0260249936666666666666666666666666666666666666,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 223, row 133Cs","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,55,133,2p3/2-1s1/2,K1-L3,shell_difference,2,1,3902.636,0.031,0.093,3902.43843788,3881.7361319603333,3841.201953431,-0.19756212,-20.8998680396667,-61.434046569,false,false,false,true,-20.7023059196667,0.0031,0.109409211;0.026208835,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0081963813854236669,0.1086635453333333333333333333333333333333333334;0.0260249936666666666666666666666666666666666666,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 223, row 133Cs","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,60,142,2p3/2-1s1/2,K1-L3,shell_difference,2,1,4352.354,0.051,0.153,4352.31846825,4325.1149315299999,4264.177903494,-0.03553175,-27.2390684700001,-88.176096506,true,false,false,true,-27.2035367200001,0.0051,0.125219712;0.029944979,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0094542261366960001,0.1241385516666666666666666666666666666666666667;0.0296797006666666666666666666666666666666666666,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 224, row 142Nd","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,79,197,2p1/2-1s1/2,K1-L2,shell_difference,2,1,5591.710,0.146,0.438,5593.605121885,5706.5003602049996,5517.944006207,1.895121885,114.7903602049996,-73.765993793,false,false,false,false,112.8952383199996,0.0146,0.155176142;0.037010850,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0144508060095590004,0.1605980246666666666666666666666666666666666667;0.0383250800000000000000000000000000000000000000,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 225, row 197Au","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,79,197,2p3/2-1s1/2,K1-L3,shell_difference,2,1,5760.792,0.153,0.459,5762.947979365,5706.5003602049996,5517.944006207,2.155979365,-54.2916397950004,-242.847993793,false,false,false,true,-56.4476191600004,0.0153,0.163308966;0.038982195,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0144508060095590004,0.1605980246666666666666666666666666666666666667;0.0383250800000000000000000000000000000000000000,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 225, row 197Au","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,81,205,2p1/2-1s1/2,K1-L2,shell_difference,2,1,5717.210,0.650,1.950,5721.677852281,5841.5243767943325,5612.088600279,4.467852281,124.3143767943325,-105.121399721,false,false,false,false,119.8465245133325,0.0650,0.158058878;0.037690115,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0150108192663256655,0.1638783046666666666666666666666666666666666667;0.039099285,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 226, row 205Tl","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,81,205,2p3/2-1s1/2,K1-L3,shell_difference,2,1,5897.290,0.670,2.010,5901.447639051,5841.5243767943325,5612.088600279,4.157639051,-55.7656232056675,-285.201399721,false,false,false,true,-59.9232622566675,0.0670,0.166788018;0.039803870,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0150108192663256655,0.1638783046666666666666666666666666666666666667;0.039099285,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 226, row 205Tl","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,82,208,2p1/2-1s1/2,K1-L2,shell_difference,2,1,5778.058,0.100,0.300,5779.069723885,5902.2362470529999,5673.880869898,1.011723885,124.1782470529999,-104.177130102,false,false,false,false,123.1665231679999,0.0100,0.158977930;0.037909414,RUN_FAILED,0.0152853766952250001,0.1649798173333333333333333333333333333333333333;0.0393621766666666666666666666666666666666666667,RUN_FAILED,"Table IIIA, p. 226, row 208Pb","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,82,208,2p3/2-1s1/2,K1-L3,shell_difference,2,1,5962.854,0.090,0.270,5963.819508637,5902.2362470529999,5673.880869898,0.965508637,-60.6177529470001,-288.973130102,false,false,false,true,-61.5832615840001,0.0090,0.167980761;0.040088558,RUN_FAILED,0.0152853766952250001,0.1649798173333333333333333333333333333333333333;0.0393621766666666666666666666666666666666666667,RUN_FAILED,"Table IIIA, p. 226, row 208Pb","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Saito2025,46,104,2p1/2-1s1/2,K1-L2,shell_difference,2,1,3057.8,0.3,0.9,3057.219525585,3080.1933086956669,3060.849569046,-0.580474415,22.3933086956669,3.049569046,true,false,false,false,22.9737831106669,0.03,0.081235584;0.019503576,RUN_FAILED,0.0060985557865163337,0.0818959693333333333333333333333333333333333333;0.019668096,RUN_FAILED,"Table III, p. 5, row 104Pd","arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,104,2p3/2-1s1/2,K1-L3,shell_difference,2,1,3091.7,0.2,0.6,3091.680200251,3080.1933086956669,3060.849569046,-0.019799749,-11.5066913043331,-30.850430954,true,false,false,true,-11.4868915553331,0.02,0.082226162;0.019750356,RUN_FAILED,0.0060985557865163337,0.0818959693333333333333333333333333333333333333;0.019668096,RUN_FAILED,"Table III, p. 5, row 104Pd","arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,104,3d5/2-2p3/2,L3-M5,shell_difference,3,2,833.4,0.1,0.3,832.852073144,842.63701143813344,825.528463808,-0.547926856,9.23701143813344,-7.871536192,false,false,false,false,9.78493829413344,0.01,0.002354505;0.000685681,RUN_FAILED,0.00217572546638253336,0.0026802468666666666666666666666666666666666667;0.000766505,RUN_FAILED,"Table III, p. 5, row 104Pd","arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,104,3d3/2-2p1/2,L2-M4,shell_difference,3,2,863.6,0.3,0.9,863.057864657,842.63701143813344,825.528463808,-0.542135343,-20.96298856186656,-38.071536192,true,false,false,true,-20.42085321886656,0.03,0.003333956;0.000928871,RUN_FAILED,0.00217572546638253336,0.0026802468666666666666666666666666666666666667;0.000766505,RUN_FAILED,"Table III, p. 5, row 104Pd","arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,104,4d5/2-2p3/2,L3-N5,shell_difference,4,2,1122.5,0.6,1.8,1123.67359222,1135.82005536447624,1114.463426141,1.17359222,13.32005536447624,-8.036573859,true,false,false,false,12.14646314447624,0.06,0.002599596;0.000771616,RUN_FAILED,0.00188254242245619056,0.0029369200952380952380952380952380952380952382;0.0008562380000000000000000000000000000000000000,RUN_FAILED,"Table III, p. 5, row 104Pd","arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,104,4f7/2-3d5/2,M5-N7,shell_difference,4,3,291.6,0.1,0.3,291.86147437,293.18304392634280,288.934962333,0.26147437,1.58304392634280,-2.665037667,true,false,false,true,1.32156955634280,0.01,0.000252879;0.000088522,RUN_FAILED,0.00103990541101805712,0.00025667322857142857142857142857142857142857143;0.00008973300000000000000000000000000000000000000,RUN_FAILED,"Table III, p. 5, row 104Pd","arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,104,4f5/2-3d3/2,M4-N6,shell_difference,4,3,294.9,0.2,0.6,295.228795545,293.18304392634280,288.934962333,0.328795545,-1.71695607365720,-5.965037667,true,false,false,true,-2.04575161865720,0.02,0.000262474;0.000091587,RUN_FAILED,0.00103990541101805712,0.00025667322857142857142857142857142857142857143;0.00008973300000000000000000000000000000000000000,RUN_FAILED,"Table III, p. 5, row 104Pd","arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,105,2p1/2-1s1/2,K1-L2,shell_difference,2,1,3054.9,0.5,1.5,3054.902109983,3077.8587771783332,3060.834098909,0.002109983,22.9587771783332,5.934098909,true,false,false,false,22.9566671953332,0.05,0.081021324;0.019453872,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0060961606932936666,0.0816807700000000000000000000000000000000000000;0.0196181473333333333333333333333333333333333334,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IV, p. 5, row 105Pd","arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,105,3d5/2-2p3/2,L3-M5,shell_difference,3,2,832.3,0.3,0.9,832.823524283,842.59991993106668,825.537058329,0.523524283,10.29991993106668,-6.762941671,true,false,false,false,9.77639564806668,0.03,0.002357921;0.000686439,QUALIFIED_AT_LEVEL_2,0.00217570199618426672,0.0026831760000000000000000000000000000000000000;0.0007671394666666666666666666666666666666666666,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IV, p. 5, row 105Pd","arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,105,3d3/2-2p1/2,L2-M4,shell_difference,3,2,864.5,0.3,0.9,863.003680202,842.59991993106668,825.537058329,-1.496319798,-21.90008006893332,-38.962941671,false,false,false,true,-20.40376027093332,0.03,0.003335920;0.000929259,QUALIFIED_AT_LEVEL_2,0.00217570199618426672,0.0026831760000000000000000000000000000000000000;0.0007671394666666666666666666666666666666666666,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IV, p. 5, row 105Pd","arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,105,4f7/2-3d5/2,M5-N7,shell_difference,4,3,291.4,0.2,0.6,291.864470739,293.18602098774289,288.937970415,0.464470739,1.78602098774289,-2.462029585,true,false,false,true,1.32155024874289,0.02,0.000252913;0.000088521,QUALIFIED_AT_LEVEL_2,0.00103991605526545715,0.00025672485714285714285714285714285714285714286;0.00008973791428571428571428571428571428571428571,QUALIFIED_AT_LEVEL_2,"Table IV, p. 5, row 105Pd","arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,105,4f5/2-3d3/2,M4-N6,shell_difference,4,3,294.9,0.6,1.8,295.231744311,293.18602098774289,288.937970415,0.331744311,-1.71397901225711,-5.962029585,true,true,false,true,-2.04572332325711,0.06,0.000262552;0.000091600,QUALIFIED_AT_LEVEL_2,0.00103991605526545715,0.00025672485714285714285714285714285714285714286;0.00008973791428571428571428571428571428571428571,QUALIFIED_AT_LEVEL_2,"Table IV, p. 5, row 105Pd","arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,106,2p1/2-1s1/2,K1-L2,shell_difference,2,1,3050.3,0.5,1.5,3049.480915874,3072.3974684913331,3060.818960758,-0.819084126,22.0974684913331,10.518960758,true,false,false,false,22.9165526173331,0.05,0.080523407;0.019338541,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0060905157519326665,0.0811806570000000000000000000000000000000000000;0.0195022896666666666666666666666666666666666667,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table III, p. 5, row 106Pd","arXiv:2204.03233v2 text layer, checked on its page image"
