run,Z,A,kind,level,state,n,l,s,binding_eV,total_eV
Li9_grid0,3,9,grid,0,N7,4,3,1,-1562.82,1.04346e+08
Li9_grid0,3,9,grid,0,O8,5,4,0,-1000.2,1.04346e+08
Li9_grid0,3,9,grid,0,O9,5,4,1,-1000.2,1.04346e+08
Li9_grid0,3,9,grid,0,P10,6,5,0,-694.583,1.04346e+08
Li9_grid0,3,9,grid,0,P11,6,5,1,-694.581,1.04346e+08
Li9_grid0,3,9,grid,0,Q12,7,6,0,-510.305,1.04347e+08
Li9_grid0,3,9,grid,0,Q13,7,6,1,-510.304,1.04347e+08
Li9_grid0,3,9,grid,0,R14,8,7,0,-390.702,1.04347e+08
Li9_grid0,3,9,grid,0,R15,8,7,1,-390.701,1.04347e+08
Li9_grid1,3,9,grid,1,K1,1,0,1,-25047.6,1.04322e+08
Li9_grid1,3,9,grid,1,L2,2,1,0,-6254.2,1.04341e+08
Li9_grid1,3,9,grid,1,L3,2,1,1,-6253.45,1.04341e+08
Li9_grid1,3,9,grid,1,M4,3,2,0,-2778.52,1.04344e+08
Li9_grid1,3,9,grid,1,M5,3,2,1,-2778.45,1.04344e+08
Li9_grid1,3,9,grid,1,N6,4,3,0,-1562.83,1.04346e+08
Li9_grid1,3,9,grid,1,N7,4,3,1,-1562.82,1.04346e+08
Li9_grid1,3,9,grid,1,O8,5,4,0,-1000.2,1.04346e+08
Li9_grid1,3,9,grid,1,O9,5,4,1,-1000.2,1.04346e+08
Li9_grid1,3,9,grid,1,P10,6,5,0,-694.583,1.04346e+08
Li9_grid1,3,9,grid,1,P11,6,5,1,-694.581,1.04346e+08
Li9_grid1,3,9,grid,1,Q12,7,6,0,-510.305,1.04347e+08
Li9_grid1,3,9,grid,1,Q13,7,6,1,-510.304,1.04347e+08
Li9_grid1,3,9,grid,1,R14,8,7,0,-390.702,1.04347e+08
Li9_grid1,3,9,grid,1,R15,8,7,1,-390.701,1.04347e+08
Li9_grid2,3,9,grid,2,K1,1,0,1,-25047.6,1.04322e+08
Li9_grid2,3,9,grid,2,L2,2,1,0,-6254.2,1.04341e+08
Li9_grid2,3,9,grid,2,L3,2,1,1,-6253.45,1.04341e+08
Li9_grid2,3,9,grid,2,M4,3,2,0,-2778.52,1.04344e+08
Li9_grid2,3,9,grid,2,M5,3,2,1,-2778.45,1.04344e+08
Li9_grid2,3,9,grid,2,N6,4,3,0,-1562.83,1.04346e+08
Li9_grid2,3,9,grid,2,N7,4,3,1,-1562.82,1.04346e+08
Li9_grid2,3,9,grid,2,O8,5,4,0,-1000.2,1.04346e+08
Li9_grid2,3,9,grid,2,O9,5,4,1,-1000.2,1.04346e+08
Li9_grid2,3,9,grid,2,P10,6,5,0,-694.583,1.04346e+08
Li9_grid2,3,9,grid,2,P11,6,5,1,-694.581,1.04346e+08
Li9_grid2,3,9,grid,2,Q12,7,6,0,-510.305,1.04347e+08
Li9_grid2,3,9,grid,2,Q13,7,6,1,-510.304,1.04347e+08
Li9_grid2,3,9,grid,2,R14,8,7,0,-390.702,1.04347e+08
Li9_grid2,3,9,grid,2,R15,8,7,1,-390.701,1.04347e+08
Li11_rminus,3,11,rminus,0,K1,1,0,1,-25100.6,1.04559e+08
Li11_rminus,3,11,rminus,0,L2,2,1,0,-6268.42,1.04578e+08
Li11_rminus,3,11,rminus,0,L3,2,1,1,-6267.67,1.04578e+08
Li11_rminus,3,11,rminus,0,M4,3,2,0,-2784.83,1.04581e+08
Li11_rminus,3,11,rminus,0,M5,3,2,1,-2784.76,1.04581e+08
Li11_rminus,3,11,rminus,0,N6,4,3,0,-1566.38,1.04583e+08
Li11_rminus,3,11,rminus,0,N7,4,3,1,-1566.37,1.04583e+08
Li11_rminus,3,11,rminus,0,O8,5,4,0,-1002.47,1.04583e+08
Li11_rminus,3,11,rminus,0,O9,5,4,1,-1002.47,1.04583e+08
Li11_rminus,3,11,rminus,0,P10,6,5,0,-696.16,1.04584e+08
Li11_rminus,3,11,rminus,0,P11,6,5,1,-696.159,1.04584e+08
Li11_rminus,3,11,rminus,0,Q12,7,6,0,-511.464,1.04584e+08
Li11_rminus,3,11,rminus,0,Q13,7,6,1,-511.463,1.04584e+08
Li11_rminus,3,11,rminus,0,R14,8,7,0,-391.589,1.04584e+08
Li11_rminus,3,11,rminus,0,R15,8,7,1,-391.589,1.04584e+08
Li11_grid0,3,11,grid,0,K1,1,0,1,-25099.7,1.04559e+08
Li11_grid0,3,11,grid,0,L2,2,1,0,-6268.42,1.04578e+08
Li11_grid0,3,11,grid,0,L3,2,1,1,-6267.67,1.04578e+08
Li11_grid0,3,11,grid,0,M4,3,2,0,-2784.83,1.04581e+08
Li11_grid0,3,11,grid,0,M5,3,2,1,-2784.76,1.04581e+08
Li11_grid0,3,11,grid,0,N6,4,3,0,-1566.38,1.04583e+08
Li11_grid0,3,11,grid,0,N7,4,3,1,-1566.37,1.04583e+08
Li11_grid0,3,11,grid,0,O8,5,4,0,-1002.47,1.04583e+08
Li11_grid0,3,11,grid,0,O9,5,4,1,-1002.47,1.04583e+08
Li11_grid0,3,11,grid,0,P10,6,5,0,-696.16,1.04584e+08
Li11_grid0,3,11,grid,0,P11,6,5,1,-696.159,1.04584e+08
Li11_grid0,3,11,grid,0,Q12,7,6,0,-511.464,1.04584e+08
Li11_grid0,3,11,grid,0,Q13,7,6,1,-511.463,1.04584e+08
Li11_grid0,3,11,grid,0,R14,8,7,0,-391.589,1.04584e+08
Li11_grid0,3,11,grid,0,R15,8,7,1,-391.589,1.04584e+08
Li11_grid1,3,11,grid,1,K1,1,0,1,-25099.8,1.04559e+08
Li11_grid1,3,11,grid,1,L2,2,1,0,-6268.42,1.04578e+08
Li11_grid1,3,11,grid,1,L3,2,1,1,-6267.67,1.04578e+08
Li11_grid1,3,11,grid,1,M4,3,2,0,-2784.83,1.04581e+08
Li11_grid1,3,11,grid,1,M5,3,2,1,-2784.76,1.04581e+08
Li11_grid1,3,11,grid,1,N6,4,3,0,-1566.38,1.04583e+08
Li11_grid1,3,11,grid,1,N7,4,3,1,-1566.37,1.04583e+08
Li11_grid1,3,11,grid,1,O8,5,4,0,-1002.47,1.04583e+08
Li11_grid1,3,11,grid,1,O9,5,4,1,-1002.47,1.04583e+08
Li11_grid1,3,11,grid,1,P10,6,5,0,-696.16,1.04584e+08
Li11_grid1,3,11,grid,1,P11,6,5,1,-696.159,1.04584e+08
Li11_grid1,3,11,grid,1,Q12,7,6,0,-511.464,1.04584e+08
Li11_grid1,3,11,grid,1,Q13,7,6,1,-511.463,1.04584e+08
Li11_grid1,3,11,grid,1,R14,8,7,0,-391.589,1.04584e+08
Li11_grid1,3,11,grid,1,R15,8,7,1,-391.589,1.04584e+08
Li11_grid2,3,11,grid,2,K1,1,0,1,-25099.8,1.04559e+08
Li11_grid2,3,11,grid,2,L2,2,1,0,-6268.42,1.04578e+08
