run,Z,A,kind,state,n,l,s,binding_eV,total_eV
He6_base,2,6,base,Q13,7,6,1,-225.403,1.03704e+08
He6_base,2,6,base,R14,8,7,0,-172.575,1.03704e+08
He6_base,2,6,base,R15,8,7,1,-172.574,1.03704e+08
He6_rsig,2,6,rsig,K1,1,0,1,-11060.7,1.03693e+08
He6_rsig,2,6,rsig,L2,2,1,0,-2761.78,1.03701e+08
He6_rsig,2,6,rsig,L3,2,1,1,-2761.63,1.03701e+08
He6_rsig,2,6,rsig,M4,3,2,0,-1227.23,1.03703e+08
He6_rsig,2,6,rsig,M5,3,2,1,-1227.21,1.03703e+08
He6_rsig,2,6,rsig,N6,4,3,0,-690.303,1.03703e+08
He6_rsig,2,6,rsig,N7,4,3,1,-690.3,1.03703e+08
He6_rsig,2,6,rsig,O8,5,4,0,-441.792,1.03704e+08
He6_rsig,2,6,rsig,O9,5,4,1,-441.791,1.03704e+08
He6_rsig,2,6,rsig,P10,6,5,0,-306.8,1.03704e+08
He6_rsig,2,6,rsig,P11,6,5,1,-306.799,1.03704e+08
He6_rsig,2,6,rsig,Q12,7,6,0,-225.404,1.03704e+08
He6_rsig,2,6,rsig,Q13,7,6,1,-225.403,1.03704e+08
He6_rsig,2,6,rsig,R14,8,7,0,-172.575,1.03704e+08
He6_rsig,2,6,rsig,R15,8,7,1,-172.574,1.03704e+08
He8_rsig,2,8,rsig,K1,1,0,1,-11112.8,1.04176e+08
He8_rsig,2,8,rsig,L2,2,1,0,-2774.66,1.04185e+08
He8_rsig,2,8,rsig,L3,2,1,1,-2774.51,1.04185e+08
He8_rsig,2,8,rsig,M4,3,2,0,-1232.95,1.04186e+08
He8_rsig,2,8,rsig,M5,3,2,1,-1232.93,1.04186e+08
He8_rsig,2,8,rsig,N6,4,3,0,-693.521,1.04187e+08
He8_rsig,2,8,rsig,N7,4,3,1,-693.517,1.04187e+08
He8_rsig,2,8,rsig,O8,5,4,0,-443.851,1.04187e+08
He8_rsig,2,8,rsig,O9,5,4,1,-443.85,1.04187e+08
He8_rsig,2,8,rsig,P10,6,5,0,-308.23,1.04187e+08
He8_rsig,2,8,rsig,P11,6,5,1,-308.229,1.04187e+08
He8_rsig,2,8,rsig,Q12,7,6,0,-226.454,1.04187e+08
He8_rsig,2,8,rsig,Q13,7,6,1,-226.454,1.04187e+08
He8_rsig,2,8,rsig,R14,8,7,0,-173.379,1.04187e+08
He8_rsig,2,8,rsig,R15,8,7,1,-173.379,1.04187e+08
Li6_base,3,6,base,K1,1,0,1,-24886,1.03678e+08
Li6_base,3,6,base,L2,2,1,0,-6215.57,1.03697e+08
Li6_base,3,6,base,L3,2,1,1,-6214.82,1.03697e+08
Li6_base,3,6,base,M4,3,2,0,-2761.36,1.037e+08
Li6_base,3,6,base,M5,3,2,1,-2761.29,1.037e+08
Li6_base,3,6,base,N6,4,3,0,-1553.18,1.03701e+08
Li6_base,3,6,base,N7,4,3,1,-1553.17,1.03701e+08
Li6_base,3,6,base,O8,5,4,0,-994.026,1.03702e+08
Li6_base,3,6,base,O9,5,4,1,-994.022,1.03702e+08
Li6_base,3,6,base,P10,6,5,0,-690.294,1.03702e+08
Li6_base,3,6,base,P11,6,5,1,-690.292,1.03702e+08
Li6_base,3,6,base,Q12,7,6,0,-507.153,1.03702e+08
Li6_base,3,6,base,Q13,7,6,1,-507.153,1.03702e+08
Li6_base,3,6,base,R14,8,7,0,-388.289,1.03702e+08
Li6_base,3,6,base,R15,8,7,1,-388.289,1.03702e+08
Li6_rsig,3,6,rsig,K1,1,0,1,-24885.2,1.03678e+08
Li6_rsig,3,6,rsig,L2,2,1,0,-6215.57,1.03697e+08
Li6_rsig,3,6,rsig,L3,2,1,1,-6214.82,1.03697e+08
Li6_rsig,3,6,rsig,M4,3,2,0,-2761.36,1.037e+08
Li6_rsig,3,6,rsig,M5,3,2,1,-2761.29,1.037e+08
Li6_rsig,3,6,rsig,N6,4,3,0,-1553.18,1.03701e+08
Li6_rsig,3,6,rsig,N7,4,3,1,-1553.17,1.03701e+08
Li6_rsig,3,6,rsig,O8,5,4,0,-994.026,1.03702e+08
Li6_rsig,3,6,rsig,O9,5,4,1,-994.022,1.03702e+08
Li6_rsig,3,6,rsig,P10,6,5,0,-690.294,1.03702e+08
Li6_rsig,3,6,rsig,P11,6,5,1,-690.292,1.03702e+08
Li6_rsig,3,6,rsig,Q12,7,6,0,-507.153,1.03702e+08
Li6_rsig,3,6,rsig,Q13,7,6,1,-507.153,1.03702e+08
Li6_rsig,3,6,rsig,R14,8,7,0,-388.289,1.03702e+08
Li6_rsig,3,6,rsig,R15,8,7,1,-388.289,1.03702e+08
Li7_base,3,7,base,K1,1,0,1,-24954.9,1.03952e+08
Li7_base,3,7,base,L2,2,1,0,-6232.03,1.03971e+08
Li7_base,3,7,base,L3,2,1,1,-6231.28,1.03971e+08
Li7_base,3,7,base,M4,3,2,0,-2768.67,1.03975e+08
Li7_base,3,7,base,M5,3,2,1,-2768.6,1.03975e+08
Li7_base,3,7,base,N6,4,3,0,-1557.29,1.03976e+08
Li7_base,3,7,base,N7,4,3,1,-1557.28,1.03976e+08
Li7_base,3,7,base,O8,5,4,0,-996.658,1.03976e+08
Li7_base,3,7,base,O9,5,4,1,-996.653,1.03976e+08
Li7_base,3,7,base,P10,6,5,0,-692.121,1.03977e+08
Li7_base,3,7,base,P11,6,5,1,-692.119,1.03977e+08
Li7_base,3,7,base,Q12,7,6,0,-508.496,1.03977e+08
Li7_base,3,7,base,Q13,7,6,1,-508.495,1.03977e+08
Li7_base,3,7,base,R14,8,7,0,-389.317,1.03977e+08
Li7_base,3,7,base,R15,8,7,1,-389.316,1.03977e+08
Li7_rsig,3,7,rsig,K1,1,0,1,-24954,1.03952e+08
Li7_rsig,3,7,rsig,L2,2,1,0,-6232.03,1.03971e+08
Li7_rsig,3,7,rsig,L3,2,1,1,-6231.28,1.03971e+08
Li7_rsig,3,7,rsig,M4,3,2,0,-2768.67,1.03975e+08
Li7_rsig,3,7,rsig,M5,3,2,1,-2768.6,1.03975e+08
Li7_rsig,3,7,rsig,N6,4,3,0,-1557.29,1.03976e+08
Li7_rsig,3,7,rsig,N7,4,3,1,-1557.28,1.03976e+08
Li7_rsig,3,7,rsig,O8,5,4,0,-996.658,1.03976e+08
Li7_rsig,3,7,rsig,O9,5,4,1,-996.653,1.03976e+08
Li7_rsig,3,7,rsig,P10,6,5,0,-692.121,1.03977e+08
Li7_rsig,3,7,rsig,P11,6,5,1,-692.119,1.03977e+08
Li7_rsig,3,7,rsig,Q12,7,6,0,-508.496,1.03977e+08
Li7_rsig,3,7,rsig,Q13,7,6,1,-508.495,1.03977e+08
Li7_rsig,3,7,rsig,R14,8,7,0,-389.317,1.03977e+08
Li7_rsig,3,7,rsig,R15,8,7,1,-389.316,1.03977e+08
Li8_base,3,8,base,K1,1,0,1,-25006.9,1.0416e+08
Li8_base,3,8,base,L2,2,1,0,-6244.5,1.04179e+08
Li8_base,3,8,base,L3,2,1,1,-6243.75,1.04179e+08
Li8_base,3,8,base,M4,3,2,0,-2774.21,1.04183e+08
Li8_base,3,8,base,M5,3,2,1,-2774.14,1.04183e+08
Li8_base,3,8,base,N6,4,3,0,-1560.41,1.04184e+08
Li8_base,3,8,base,N7,4,3,1,-1560.39,1.04184e+08
Li8_base,3,8,base,O8,5,4,0,-998.651,1.04184e+08
Li8_base,3,8,base,O9,5,4,1,-998.647,1.04184e+08
Li8_base,3,8,base,P10,6,5,0,-693.505,1.04185e+08
Li8_base,3,8,base,P11,6,5,1,-693.503,1.04185e+08
Li8_base,3,8,base,Q12,7,6,0,-509.513,1.04185e+08
Li8_base,3,8,base,Q13,7,6,1,-509.512,1.04185e+08
Li8_base,3,8,base,R14,8,7,0,-390.096,1.04185e+08
Li8_base,3,8,base,R15,8,7,1,-390.095,1.04185e+08
Li8_rsig,3,8,rsig,K1,1,0,1,-25006,1.0416e+08
Li8_rsig,3,8,rsig,L2,2,1,0,-6244.5,1.04179e+08
Li8_rsig,3,8,rsig,L3,2,1,1,-6243.75,1.04179e+08
Li8_rsig,3,8,rsig,M4,3,2,0,-2774.21,1.04183e+08
Li8_rsig,3,8,rsig,M5,3,2,1,-2774.14,1.04183e+08
Li8_rsig,3,8,rsig,N6,4,3,0,-1560.41,1.04184e+08
Li8_rsig,3,8,rsig,N7,4,3,1,-1560.39,1.04184e+08
Li8_rsig,3,8,rsig,O8,5,4,0,-998.651,1.04184e+08
Li8_rsig,3,8,rsig,O9,5,4,1,-998.647,1.04184e+08
Li8_rsig,3,8,rsig,P10,6,5,0,-693.505,1.04185e+08
Li8_rsig,3,8,rsig,P11,6,5,1,-693.503,1.04185e+08
Li8_rsig,3,8,rsig,Q12,7,6,0,-509.513,1.04185e+08
Li8_rsig,3,8,rsig,Q13,7,6,1,-509.512,1.04185e+08
Li8_rsig,3,8,rsig,R14,8,7,0,-390.096,1.04185e+08
Li8_rsig,3,8,rsig,R15,8,7,1,-390.095,1.04185e+08
Li9_base,3,9,base,K1,1,0,1,-25047.6,1.04322e+08
Li9_base,3,9,base,L2,2,1,0,-6254.2,1.04341e+08
Li9_base,3,9,base,L3,2,1,1,-6253.45,1.04341e+08
Li9_base,3,9,base,M4,3,2,0,-2778.52,1.04344e+08
Li9_base,3,9,base,M5,3,2,1,-2778.45,1.04344e+08
Li9_base,3,9,base,N6,4,3,0,-1562.83,1.04346e+08
Li9_base,3,9,base,N7,4,3,1,-1562.82,1.04346e+08
Li9_base,3,9,base,O8,5,4,0,-1000.2,1.04346e+08
Li9_base,3,9,base,O9,5,4,1,-1000.2,1.04346e+08
Li9_base,3,9,base,P10,6,5,0,-694.583,1.04346e+08
Li9_base,3,9,base,P11,6,5,1,-694.581,1.04346e+08
Li9_base,3,9,base,Q12,7,6,0,-510.305,1.04347e+08
Li9_base,3,9,base,Q13,7,6,1,-510.304,1.04347e+08
Li9_base,3,9,base,R14,8,7,0,-390.702,1.04347e+08
Li9_base,3,9,base,R15,8,7,1,-390.701,1.04347e+08
Li9_rsig,3,9,rsig,K1,1,0,1,-25046.7,1.04322e+08
Li9_rsig,3,9,rsig,L2,2,1,0,-6254.2,1.04341e+08
Li9_rsig,3,9,rsig,L3,2,1,1,-6253.45,1.04341e+08
Li9_rsig,3,9,rsig,M4,3,2,0,-2778.52,1.04344e+08
Li9_rsig,3,9,rsig,M5,3,2,1,-2778.45,1.04344e+08
Li9_rsig,3,9,rsig,N6,4,3,0,-1562.83,1.04346e+08
Li9_rsig,3,9,rsig,N7,4,3,1,-1562.82,1.04346e+08
Li9_rsig,3,9,rsig,O8,5,4,0,-1000.2,1.04346e+08
Li9_rsig,3,9,rsig,O9,5,4,1,-1000.2,1.04346e+08
Li9_rsig,3,9,rsig,P10,6,5,0,-694.583,1.04346e+08
Li9_rsig,3,9,rsig,P11,6,5,1,-694.581,1.04346e+08
Li9_rsig,3,9,rsig,Q12,7,6,0,-510.305,1.04347e+08
Li9_rsig,3,9,rsig,Q13,7,6,1,-510.304,1.04347e+08
Li9_rsig,3,9,rsig,R14,8,7,0,-390.702,1.04347e+08
Li9_rsig,3,9,rsig,R15,8,7,1,-390.701,1.04347e+08
Li11_base,3,11,base,K1,1,0,1,-25099.7,1.04559e+08
Li11_base,3,11,base,L2,2,1,0,-6268.42,1.04578e+08
Li11_base,3,11,base,L3,2,1,1,-6267.67,1.04578e+08
Li11_base,3,11,base,M4,3,2,0,-2784.83,1.04581e+08
Li11_base,3,11,base,M5,3,2,1,-2784.76,1.04581e+08
Li11_base,3,11,base,N6,4,3,0,-1566.38,1.04583e+08
Li11_base,3,11,base,N7,4,3,1,-1566.37,1.04583e+08
Li11_base,3,11,base,O8,5,4,0,-1002.47,1.04583e+08
Li11_base,3,11,base,O9,5,4,1,-1002.47,1.04583e+08
Li11_base,3,11,base,P10,6,5,0,-696.16,1.04584e+08
Li11_base,3,11,base,P11,6,5,1,-696.159,1.04584e+08
Li11_base,3,11,base,Q12,7,6,0,-511.464,1.04584e+08
Li11_base,3,11,base,Q13,7,6,1,-511.463,1.04584e+08
Li11_base,3,11,base,R14,8,7,0,-391.589,1.04584e+08
Li11_base,3,11,base,R15,8,7,1,-391.589,1.04584e+08
Li11_rsig,3,11,rsig,K1,1,0,1,-25098.8,1.04559e+08
Li11_rsig,3,11,rsig,L2,2,1,0,-6268.42,1.04578e+08
Li11_rsig,3,11,rsig,L3,2,1,1,-6267.67,1.04578e+08
Li11_rsig,3,11,rsig,M4,3,2,0,-2784.83,1.04581e+08
Li11_rsig,3,11,rsig,M5,3,2,1,-2784.76,1.04581e+08
Li11_rsig,3,11,rsig,N6,4,3,0,-1566.38,1.04583e+08
Li11_rsig,3,11,rsig,N7,4,3,1,-1566.37,1.04583e+08
Li11_rsig,3,11,rsig,O8,5,4,0,-1002.47,1.04583e+08
Li11_rsig,3,11,rsig,O9,5,4,1,-1002.47,1.04583e+08
Li11_rsig,3,11,rsig,P10,6,5,0,-696.16,1.04584e+08
Li11_rsig,3,11,rsig,P11,6,5,1,-696.159,1.04584e+08
Li11_rsig,3,11,rsig,Q12,7,6,0,-511.464,1.04584e+08
Li11_rsig,3,11,rsig,Q13,7,6,1,-511.463,1.04584e+08
Li11_rsig,3,11,rsig,R14,8,7,0,-391.589,1.04584e+08
Li11_rsig,3,11,rsig,R15,8,7,1,-391.589,1.04584e+08
Be7_base,4,7,base,K1,1,0,1,-44347.9,1.03933e+08
Be7_base,4,7,base,L2,2,1,0,-11082.7,1.03966e+08
Be7_base,4,7,base,L3,2,1,1,-11080.4,1.03966e+08
Be7_base,4,7,base,M4,3,2,0,-4922.46,1.03973e+08
Be7_base,4,7,base,M5,3,2,1,-4922.23,1.03973e+08
Be7_base,4,7,base,N6,4,3,0,-2768.58,1.03975e+08
Be7_base,4,7,base,N7,4,3,1,-2768.54,1.03975e+08
Be7_base,4,7,base,O8,5,4,0,-1771.85,1.03976e+08
Be7_base,4,7,base,O9,5,4,1,-1771.84,1.03976e+08
Be7_base,4,7,base,P10,6,5,0,-1230.45,1.03976e+08
Be7_base,4,7,base,P11,6,5,1,-1230.44,1.03976e+08
Be7_base,4,7,base,Q12,7,6,0,-903.998,1.03977e+08
Be7_base,4,7,base,Q13,7,6,1,-903.995,1.03977e+08
Be7_base,4,7,base,R14,8,7,0,-692.122,1.03977e+08
Be7_base,4,7,base,R15,8,7,1,-692.121,1.03977e+08
Be7_rsig,4,7,rsig,K1,1,0,1,-44346.8,1.03933e+08
Be7_rsig,4,7,rsig,L2,2,1,0,-11082.7,1.03966e+08
Be7_rsig,4,7,rsig,L3,2,1,1,-11080.4,1.03966e+08
Be7_rsig,4,7,rsig,M4,3,2,0,-4922.46,1.03973e+08
Be7_rsig,4,7,rsig,M5,3,2,1,-4922.23,1.03973e+08
Be7_rsig,4,7,rsig,N6,4,3,0,-2768.58,1.03975e+08
Be7_rsig,4,7,rsig,N7,4,3,1,-2768.54,1.03975e+08
Be7_rsig,4,7,rsig,O8,5,4,0,-1771.85,1.03976e+08
Be7_rsig,4,7,rsig,O9,5,4,1,-1771.84,1.03976e+08
Be7_rsig,4,7,rsig,P10,6,5,0,-1230.45,1.03976e+08
Be7_rsig,4,7,rsig,P11,6,5,1,-1230.44,1.03976e+08
