run,Z,A,kind,line,delta_e_eV,w12_per_s
Li8_rsig,3,8,rsig,N6-O8,561.757900,67786526650.890480
Li8_rsig,3,8,rsig,N7-O8,561.742320,2510487682.944119
Li8_rsig,3,8,rsig,N7-O9,561.747105,70295291562.040070
Li8_rsig,3,8,rsig,O8-P10,305.146073,26575145042.208553
Li8_rsig,3,8,rsig,O9-P10,305.141288,603961513.956448
Li8_rsig,3,8,rsig,O9-P11,305.143134,27178749738.621670
Li8_rsig,3,8,rsig,P10-Q12,183.992168,12055047638.668301
Li8_rsig,3,8,rsig,P11-Q12,183.990322,185458206.512947
Li8_rsig,3,8,rsig,P11-Q13,183.991153,12240410301.047749
Li8_rsig,3,8,rsig,Q12-R14,119.417571,6087203902.986060
Li8_rsig,3,8,rsig,Q13-R14,119.416741,67634503.483262
Li8_rsig,3,8,rsig,Q13-R15,119.417158,6154807394.546785
Li9_base,3,9,base,K1-L2,18793.384924,10396925780167.845703
Li9_base,3,9,base,K1-L3,18794.136222,10396017462525.382812
Li9_base,3,9,base,L2-M4,3475.680814,892357383170.669434
Li9_base,3,9,base,L3-M4,3474.929516,178427552972.998383
Li9_base,3,9,base,L3-M5,3475.003533,1070601461870.401978
Li9_base,3,9,base,M4-N6,1215.688743,213000007532.519257
Li9_base,3,9,base,M5-N6,1215.614726,15212890682.450748
Li9_base,3,9,base,M5-N7,1215.630330,228200423009.793762
Li9_base,3,9,base,N6-O8,562.630640,67891849446.458641
Li9_base,3,9,base,N7-O8,562.615036,2514387945.307149
Li9_base,3,9,base,N7-O9,562.619829,70404500515.827789
Li9_base,3,9,base,O8-P10,305.620132,26616428240.117657
Li9_base,3,9,base,O9-P10,305.615339,604899808.624483
Li9_base,3,9,base,O9-P11,305.617188,27220973492.442505
Li9_base,3,9,base,P10-Q12,184.278008,12073775886.166807
Li9_base,3,9,base,P11-Q12,184.276159,185746329.982977
Li9_base,3,9,base,P11-Q13,184.276991,12259425698.320782
Li9_base,3,9,base,Q12-R14,119.603092,6096661295.933764
Li9_base,3,9,base,Q13-R14,119.602260,67739576.776028
Li9_base,3,9,base,Q13-R15,119.602678,6164369852.517785
Li9_rsig,3,9,rsig,K1-L2,18792.497785,10396568597087.892578
Li9_rsig,3,9,rsig,K1-L3,18793.249073,10395660471786.970703
Li9_rsig,3,9,rsig,L2-M4,3475.681668,892357675366.516724
Li9_rsig,3,9,rsig,L3-M4,3474.930381,178427611300.576202
Li9_rsig,3,9,rsig,L3-M5,3475.004398,1070601811832.910522
Li9_rsig,3,9,rsig,M4-N6,1215.688798,213000026879.403503
Li9_rsig,3,9,rsig,M5-N6,1215.614781,15212890673.638067
Li9_rsig,3,9,rsig,M5-N7,1215.630385,228200422877.235321
Li9_rsig,3,9,rsig,N6-O8,562.630641,67891849430.550499
Li9_rsig,3,9,rsig,N7-O8,562.615037,2514387944.722524
Li9_rsig,3,9,rsig,N7-O9,562.619830,70404500499.306915
Li9_rsig,3,9,rsig,O8-P10,305.620132,26616428240.005386
Li9_rsig,3,9,rsig,O9-P10,305.615339,604899808.620848
Li9_rsig,3,9,rsig,O9-P11,305.617188,27220973492.338505
Li9_rsig,3,9,rsig,P10-Q12,184.278008,12073775886.167164
Li9_rsig,3,9,rsig,P11-Q12,184.276159,185746329.982998
Li9_rsig,3,9,rsig,P11-Q13,184.276991,12259425698.320992
Li9_rsig,3,9,rsig,Q12-R14,119.603092,6096661295.933783
Li9_rsig,3,9,rsig,Q13-R14,119.602260,67739576.776028
Li9_rsig,3,9,rsig,Q13-R15,119.602678,6164369852.517785
Li11_base,3,11,base,K1-L2,18831.325802,10418673197534.177734
Li11_base,3,11,base,K1-L3,18832.078757,10417763883709.914062
Li11_base,3,11,base,L2-M4,3483.587938,894388394778.454346
