Z,A,parity_value,parity_unc,published_cells_at_z,equal_count,equal_locators
27,59,4.945,0.025,Table IV p.2219 row 8 Co 4.89+-0.09 [10^6/s]; Table IV p.2219 row 9 Co 4.96+-0.05 [10^6/s]; Table IV p.2219 row 10 Co 4.940+-0.029 [10^6/s],0,
28,58,6.11,0.10,Table IV p.2219 row 11 Ni 6.03+-0.14 [10^6/s]; Table IV p.2219 row 12 Ni 5.89+-0.12 [10^6/s]; Table IV p.2219 row 13 Ni 5.83+-0.13 [10^6/s]; Table IV p.2219 row 14 Ni 5.932+-0.041 [10^6/s]; Table IV p.2219 row 15 58Ni 6.11+-0.10 [10^6/s]; Table IV p.2219 row 16 60Ni 5.56+-0.10 [10^6/s]; Table IV p.2219 row 17 62Ni 4.72+-0.10 [10^6/s]; Table IV p.2219 row 18 natNi 5.88+-0.10 [10^6/s],1,Table IV p.2219 row 15
28,60,5.56,0.10,Table IV p.2219 row 11 Ni 6.03+-0.14 [10^6/s]; Table IV p.2219 row 12 Ni 5.89+-0.12 [10^6/s]; Table IV p.2219 row 13 Ni 5.83+-0.13 [10^6/s]; Table IV p.2219 row 14 Ni 5.932+-0.041 [10^6/s]; Table IV p.2219 row 15 58Ni 6.11+-0.10 [10^6/s]; Table IV p.2219 row 16 60Ni 5.56+-0.10 [10^6/s]; Table IV p.2219 row 17 62Ni 4.72+-0.10 [10^6/s]; Table IV p.2219 row 18 natNi 5.88+-0.10 [10^6/s],1,Table IV p.2219 row 16
28,62,4.72,0.10,Table IV p.2219 row 11 Ni 6.03+-0.14 [10^6/s]; Table IV p.2219 row 12 Ni 5.89+-0.12 [10^6/s]; Table IV p.2219 row 13 Ni 5.83+-0.13 [10^6/s]; Table IV p.2219 row 14 Ni 5.932+-0.041 [10^6/s]; Table IV p.2219 row 15 58Ni 6.11+-0.10 [10^6/s]; Table IV p.2219 row 16 60Ni 5.56+-0.10 [10^6/s]; Table IV p.2219 row 17 62Ni 4.72+-0.10 [10^6/s]; Table IV p.2219 row 18 natNi 5.88+-0.10 [10^6/s],1,Table IV p.2219 row 17
29,63,5.691,0.030,Table IV p.2219 row 19 Cu 5.79+-0.16 [10^6/s]; Table IV p.2219 row 20 Cu 5.47+-0.20 [10^6/s]; Table IV p.2219 row 21 Cu 5.66+-0.09 [10^6/s]; Table IV p.2219 row 22 Cu 5.67+-0.09 [10^6/s]; Table IV p.2219 row 23 Cu 5.676+-0.037 [10^6/s]; Table IV p.2219 row 24 63Cu 5.72+-0.05 [10^6/s],0,
30,66,5.806,0.031,Table IV p.2219 row 25 Zn 5.76+-0.17 [10^6/s]; Table IV p.2219 row 26 Zn 5.5+-0.1 [10^6/s]; Table IV p.2219 row 27 Zn 5.76+-0.05 [10^6/s]; Table IV p.2219 row 28 Zn 5.834+-0.039 [10^6/s],0,
31,69,5.700,0.060,Table IV p.2219 row 29 Ga 5.70+-0.06 [10^6/s],1,Table IV p.2219 row 29
32,72,5.561,0.031,Table IV p.2219 row 30 Ge 5.54+-0.06 [10^6/s]; Table IV p.2219 row 31 Ge 5.569+-0.036 [10^6/s],0,
33,75,6.094,0.037,Table IV p.2219 row 32 As 6.07+-0.07 [10^6/s]; Table IV p.2219 row 33 As 6.06+-0.12 [10^6/s]; Table IV p.2219 row 34 As 6.104+-0.043 [10^6/s],0,
34,80,5.687,0.030,Table IV p.2219 row 35 Se 5.70+-0.05 [10^6/s]; Table IV p.2219 row 36 Se 5.681+-0.037 [10^6/s],0,
35,79,7.223,0.28,Table IV p.2219 row 37 79Br 7.05+-0.35 [10^6/s]; Table IV p.2219 row 38 81Br 7.55+-0.48 [10^6/s]; Table IV p.2219 row 39 Br 7.07+-0.06 [10^6/s],0,
35,81,7.547,0.48,Table IV p.2219 row 37 79Br 7.05+-0.35 [10^6/s]; Table IV p.2219 row 38 81Br 7.55+-0.48 [10^6/s]; Table IV p.2219 row 39 Br 7.07+-0.06 [10^6/s],1,Table IV p.2219 row 38
37,85,6.89,0.14,Table IV p.2219 row 40 Rb 6.89+-0.14 [10^6/s],1,Table IV p.2219 row 40
38,88,6.93,0.12,Table IV p.2219 row 41 Sr 7.25+-0.14 [10^6/s]; Table IV p.2219 row 42 Sr 7.02+-0.14 [10^6/s]; Table IV p.2219 row 43 88Sr 6.61+-0.27 [10^6/s],0,
39,89,7.89,0.11,Table IV p.2219 row 44 Y 7.89+-0.11 [10^6/s],1,Table IV p.2219 row 44
40,91,8.620,0.053,Table IV p.2219 row 45 Zr 8.59+-0.07 [10^6/s]; Table IV p.2219 row 46 Zr 8.66+-0.08 [10^6/s],0,
41,93,10.38,0.11,Table IV p.2219 row 47 Nb 10.40+-0.14 [10^6/s]; Table IV p.2219 row 48 Nb 10.36+-0.17 [10^6/s],0,
42,96,9.298,0.063,Table IV p.2219 row 49 Mo 9.09+-0.18 [10^6/s]; Table IV p.2219 row 50 Mo 9.23+-0.07 [10^6/s]; Table IV p.2219 row 51 Mo 9.614+-0.15 [10^6/s],0,
45,103,10.010,0.045,Table IV p.2219 row 52 Rh 10.01+-0.07 [10^6/s],0,
46,106,10.000,0.070,Table IV p.2219 row 53 Pd 10.00+-0.07 [10^6/s],1,Table IV p.2219 row 53
47,107,10.869,0.095,Table IV p.2219 row 54 Ag 11.25+-0.50 [10^6/s]; Table IV p.2219 row 55 Ag 10.86+-0.13 [10^6/s]; Table IV p.2219 row 56 Ag 10.88+-0.14 [10^6/s]; Table IV p.2219 row 57 Ag 10.5+-0.3 [10^6/s]; Table IV p.2219 row 58 Ag 11.07+-0.20 [10^6/s],0,
48,112,10.624,0.094,Table IV p.2219 row 59 Cd 10.1+-0.5 [10^6/s]; Table IV p.2219 row 60 Cd 10.63+-0.11 [10^6/s]; Table IV p.2220 row 3 Cd 10.61+-0.18 [10^6/s],0,
49,115,11.38,0.11,Table IV p.2220 row 4 In 11.37+-0.13 [10^6/s]; Table IV p.2220 row 5 In 11.40+-0.21 [10^6/s],0,
50,119,10.60,0.11,Table IV p.2220 row 6 Sn 10.5+-0.4 [10^6/s]; Table IV p.2220 row 7 Sn 10.70+-0.14 [10^6/s]; Table IV p.2220 row 8 Sn 10.44+-0.18 [10^6/s],0,
51,121,10.40,0.12,Table IV p.2220 row 9 Sb 10.49+-0.14 [10^6/s]; Table IV p.2220 row 10 Sb 10.21+-0.20 [10^6/s],0,
52,128,9.174,0.074,Table IV p.2220 row 11 Te 9.06+-0.11 [10^6/s]; Table IV p.2220 row 12 Te 9.27+-0.10 [10^6/s],0,
53,127,11.276,0.098,Table IV p.2220 row 13 I 11.20+-0.11 [10^6/s]; Table IV p.2220 row 14 I 11.58+-0.22 [10^6/s],0,
55,133,10.98,0.25,Table IV p.2220 row 15 Cs 10.98+-0.25 [10^6/s],1,Table IV p.2220 row 15
56,138,10.112,0.085,Table IV p.2220 row 16 Ba 10.18+-0.10 [10^6/s]; Table IV p.2220 row 17 Ba 9.94+-0.16 [10^6/s],0,
57,139,10.71,0.10,Table IV p.2220 row 18 La 10.71+-0.10 [10^6/s],1,Table IV p.2220 row 18
58,140,11.501,0.087,Table IV p.2220 row 19 Ce 11.44+-0.11 [10^6/s]; Table IV p.2220 row 20 Ce 11.60+-0.14 [10^6/s],0,
59,141,13.45,0.13,Table IV p.2220 row 21 Pr 13.45+-0.13 [10^6/s],1,Table IV p.2220 row 21
60,144,12.35,0.13,Table IV p.2220 row 22 Nd 12.32+-0.14 [10^6/s]; Table IV p.2220 row 23 Nd 12.50+-0.33 [10^6/s],0,
62,150,12.22,0.17,Table IV p.2220 row 24 Sm 12.22+-0.17 [10^6/s],1,Table IV p.2220 row 24
64,157,12.00,0.13,Table IV p.2220 row 25 Gd 12.09+-0.16 [10^6/s]; Table IV p.2220 row 26 Gd 11.82+-0.22 [10^6/s],0,
65,159,12.73,0.13,Table IV p.2220 row 27 Th 12.73+-0.13 [10^6/s],1,Table IV p.2220 row 27
66,163,12.29,0.18,Table IV p.2220 row 28 Dy 12.29+-0.18 [10^6/s],1,Table IV p.2220 row 28
67,165,12.95,0.13,Table IV p.2220 row 29 Ho 12.95+-0.13 [10^6/s],1,Table IV p.2220 row 29
68,167,13.04,0.27,Table IV p.2220 row 30 Er 13.04+-0.27 [10^6/s],1,Table IV p.2220 row 30
72,178,13.03,0.21,Table IV p.2220 row 31 Hf 13.03+-0.21 [10^6/s],1,Table IV p.2220 row 31
73,181,12.86,0.13,Table IV p.2220 row 32 Ta 12.86+-0.13 [10^6/s],1,Table IV p.2220 row 32
74,184,12.76,0.16,Table IV p.2220 row 33 W 11.92+-0.30 [10^6/s]; Table IV p.2220 row 34 W 13.5+-0.6 [10^6/s]; Table IV p.2220 row 35 W 13.07+-0.21 [10^6/s]; Table IV p.2220 row 36 W 12.36+-0.24 [10^6/s],0,
79,197,13.35,0.10,Table IV p.2220 row 37 Au 13.39+-0.11 [10^6/s]; Table IV p.2220 row 38 Au 13.07+-0.28 [10^6/s],0,
80,201,12.74,0.18,Table IV p.2220 row 39 Hg 12.74+-0.26 [10^6/s]; Table IV p.2220 row 40 Hg 12.74+-0.26 [10^6/s],0,
81,205,13.85,0.17,Table IV p.2220 row 41 Tl 12.90+-0.75 [10^6/s]; Table IV p.2220 row 42 Tl 13.83+-0.20 [10^6/s]; Table IV p.2220 row 43 Tl 13.90+-0.31 [10^6/s],0,
82,207,13.295,0.071,Table IV p.2220 row 44 Pb 11.70+-0.75 [10^6/s]; Table IV p.2220 row 45 Pb 14.5+-0.7 [10^6/s]; Table IV p.2220 row 46 Pb 12.98+-0.10 [10^6/s]; Table IV p.2220 row 47 Pb 13.27+-0.22 [10^6/s]; Table IV p.2220 row 48 Pb 13.45+-0.18 [10^6/s]; Table IV p.2220 row 49 RPb^b 13.61+-0.10 [10^6/s],0,
83,209,13.238,0.065,Table IV p.2220 row 50 Bi 12.20+-0.75 [10^6/s]; Table IV p.2220 row 51 Bi 13.26+-0.07 [10^6/s]; Table IV p.2220 row 52 Bi 13.10+-0.18 [10^6/s],0,
90,232,12.555,0.049,Table IV p.2220 row 56 232Th^c (13.1+-0.9) [10^6/s]; Table IV p.2220 row 57 232Th^c (11.1+-0.6) [10^6/s]; Table IV p.2220 row 58 232Th^c (12.56+-0.05) [10^6/s]; Table IV p.2220 row 59 232Th^c (11.5+-0.6) [10^6/s]; Table IV p.2220 row 60 232Th^c (12.4+-0.3) [10^6/s],1,Table IV p.2220 row 58
92,238,12.592,0.035,Table IV p.2221 row 3 233U^c (15.8+-0.9) [10^6/s]; Table IV p.2221 row 4 233U^c (14.23+-0.15) [10^6/s]; Table IV p.2221 row 8 235U^c (13.7+-0.4) [10^6/s]; Table IV p.2221 row 9 235U^c (14.9+-0.6) [10^6/s]; Table IV p.2221 row 10 235U^c (14.7+-1.0) [10^6/s]; Table IV p.2221 row 11 235U^c (12.9+-0.4) [10^6/s]; Table IV p.2221 row 12 235U^c (13.3+-0.2) [10^6/s]; Table IV p.2221 row 13 235U^c (13.36+-0.12) [10^6/s]; Table IV p.2221 row 14 235U^c (13.58+-0.12) [10^6/s]; Table IV p.2221 row 15 236U^c (13.9+-0.4) [10^6/s]; Table IV p.2221 row 23 238U^c (12.4+-0.4) [10^6/s]; Table IV p.2221 row 24 238U^c (13.1+-0.5) [10^6/s]; Table IV p.2221 row 25 238U^c (12.9+-0.5) [10^6/s]; Table IV p.2221 row 26 238U^c (12.8+-0.2) [10^6/s]; Table IV p.2221 row 27 238U^c (12.60+-0.04) [10^6/s]; Table IV p.2221 row 28 238U^c (12.46+-0.09) [10^6/s]; Table IV p.2221 row 29 238U^c (12.50+-0.10) [10^6/s]; Table IV p.2221 row 30 238U^c (12.4+-0.4) [10^6/s]; Table IV p.2221 row 31 238U^c 12.57+-0.07 [10^6/s],0,
