table,printed_page,page_row_ordinal,Z,z_from,target_label,label_from,target_basis,basis_rule,mean_life_ns,mean_life_unc_ns,rate,rate_unc,rate_unc_plus,rate_unc_minus,rate_exp10,rate_unit,rate_parenthesized,huff_factor,huff_from,refs,own_measurement,copy_read
IV,2218,53,24,Table IV p.2218 row 51,Cr,Table IV p.2218 row 51,unspecified,bare-symbol,255.3,2.0,3.472,0.031,,,0,10^6/s,false,0.978,Table IV p.2218 row 51,a,true,published-scan
IV,2218,54,24,Table IV p.2218 row 51,50Cr,Table IV p.2218 row 54,isotope,integer-mass-prefix,233.7,2.7,3.825,0.050,,,0,10^6/s,false,,,73,false,published-scan
IV,2218,55,24,Table IV p.2218 row 51,52Cr,Table IV p.2218 row 55,isotope,integer-mass-prefix,256.0,3.0,3.452,0.047,,,0,10^6/s,false,,,73,false,published-scan
IV,2218,56,24,Table IV p.2218 row 51,53Cr,Table IV p.2218 row 56,isotope,integer-mass-prefix,266.6,3.2,3.297,0.045,,,0,10^6/s,false,,,73,false,published-scan
IV,2218,57,24,Table IV p.2218 row 51,54Cr,Table IV p.2218 row 57,isotope,integer-mass-prefix,284.8,3.3,3.057,0.042,,,0,10^6/s,false,,,73,false,published-scan
IV,2218,58,24,Table IV p.2218 row 51,natCr,Table IV p.2218 row 58,natural,nat-prefix,256.7,3.0,3.444,0.047,,,0,10^6/s,false,,,73,false,published-scan
IV,2218,59,25,printed,Mn,Table IV p.2218 row 59,unspecified,bare-symbol,239,4,3.67,0.08,,,0,10^6/s,false,0.976,printed,40,false,published-scan
IV,2218,60,25,Table IV p.2218 row 59,Mn,Table IV p.2218 row 59,unspecified,bare-symbol,225.5,2.3,3.98,0.05,,,0,10^6/s,false,0.976,Table IV p.2218 row 59,49,false,published-scan
IV,2219,3,25,Table IV p.2218 row 59,Mn,Table IV p.2219 row 3,unspecified,bare-symbol,232.5,2.0,3.857,0.037,,,0,10^6/s,false,0.976,Table IV p.2218 row 59,a,true,published-scan
IV,2219,4,26,printed,Fe,Table IV p.2219 row 4,unspecified,bare-symbol,201,4,4.53,0.10,,,0,10^6/s,false,0.975,printed,40,false,published-scan
IV,2219,5,26,Table IV p.2219 row 4,Fe,Table IV p.2219 row 4,unspecified,bare-symbol,207,3,4.38,0.07,,,0,10^6/s,false,0.975,Table IV p.2219 row 4,43,false,published-scan
IV,2219,6,26,Table IV p.2219 row 4,Fe,Table IV p.2219 row 4,unspecified,bare-symbol,206.7,2.4,4.40,0.05,,,0,10^6/s,false,0.975,Table IV p.2219 row 4,49,false,published-scan
IV,2219,7,26,Table IV p.2219 row 4,Fe,Table IV p.2219 row 4,unspecified,bare-symbol,206.0,1.0,4.411,0.024,,,0,10^6/s,false,0.975,Table IV p.2219 row 4,a,true,published-scan
IV,2219,8,27,printed,Co,Table IV p.2219 row 8,unspecified,bare-symbol,188,3,4.89,0.09,,,0,10^6/s,false,0.971,printed,43,false,published-scan
IV,2219,9,27,Table IV p.2219 row 8,Co,Table IV p.2219 row 8,unspecified,bare-symbol,184.0,1.7,4.96,0.05,,,0,10^6/s,false,0.971,Table IV p.2219 row 8,49,false,published-scan
IV,2219,10,27,Table IV p.2219 row 8,Co,Table IV p.2219 row 8,unspecified,bare-symbol,185.8,1.0,4.940,0.029,,,0,10^6/s,false,0.971,Table IV p.2219 row 8,a,true,published-scan
IV,2219,11,28,printed,Ni,Table IV p.2219 row 11,unspecified,bare-symbol,154,3,6.03,0.14,,,0,10^6/s,false,0.969,printed,40,false,published-scan
IV,2219,12,28,Table IV p.2219 row 11,Ni,Table IV p.2219 row 11,unspecified,bare-symbol,158,3,5.89,0.12,,,0,10^6/s,false,0.969,Table IV p.2219 row 11,43,false,published-scan
IV,2219,13,28,Table IV p.2219 row 11,Ni,Table IV p.2219 row 11,unspecified,bare-symbol,159.4,3.1,5.83,0.13,,,0,10^6/s,false,0.969,Table IV p.2219 row 11,49,false,published-scan
IV,2219,14,28,Table IV p.2219 row 11,Ni,Table IV p.2219 row 11,unspecified,bare-symbol,156.9,1.0,5.932,0.041,,,0,10^6/s,false,0.969,Table IV p.2219 row 11,a,true,published-scan
IV,2219,15,28,Table IV p.2219 row 11,58Ni,Table IV p.2219 row 15,isotope,integer-mass-prefix,152.3,2.4,6.11,0.10,,,0,10^6/s,false,,,73,false,published-scan
IV,2219,16,28,Table IV p.2219 row 11,60Ni,Table IV p.2219 row 16,isotope,integer-mass-prefix,166.2,2.6,5.56,0.10,,,0,10^6/s,false,,,73,false,published-scan
IV,2219,17,28,Table IV p.2219 row 11,62Ni,Table IV p.2219 row 17,isotope,integer-mass-prefix,193.4,3.5,4.72,0.10,,,0,10^6/s,false,,,73,false,published-scan
